timestamp,print_state,layer_current,layer_total,nozzle_temp,nozzle_target,bed_temp,bed_target,print_speed,fan_speed,percent_complete,time_remaining_min
2026-02-25T11:47:30.365856,IDLE,0,0,,,20,0,2,0,0,0
2026-02-25T12:10:41.284133,UNKNOWN,0,0,19.875,0,20.125,0,0,0,0,0
2026-02-25T12:10:43.336303,UNKNOWN,0,0,,,,,0,0,0,0
2026-02-25T12:10:57.312627,UNKNOWN,0,0,,,20.09375,0,0,0,0,0
2026-02-25T12:10:59.409270,UNKNOWN,0,0,,,20.125,0,0,0,0,0
2026-02-25T12:11:01.843050,UNKNOWN,0,0,,,,,0,0,0,0
2026-02-25T12:11:05.362184,UNKNOWN,0,0,,,,,0,0,0,0
2026-02-25T12:11:07.421659,UNKNOWN,0,0,19.84375,0,,,0,0,0,0
2026-02-25T12:11:09.464744,UNKNOWN,0,0,19.875,0,,,0,0,0,0
2026-02-25T12:11:13.439401,UNKNOWN,0,0,,,,,0,0,0,0
2026-02-25T12:11:23.475137,UNKNOWN,0,0,,,20.09375,0,0,0,0,0
2026-02-25T12:11:29.519532,UNKNOWN,0,0,,,20.125,0,0,0,0,0
2026-02-25T12:11:35.524891,UNKNOWN,0,0,,,20.09375,0,0,0,0,0
2026-02-25T12:11:41.599141,UNKNOWN,0,0,,,,,0,0,0,0
2026-02-25T12:11:43.687631,UNKNOWN,0,0,,,,,0,0,0,0
2026-02-25T12:11:45.698090,UNKNOWN,0,0,,,,,0,0,0,0
2026-02-25T12:11:49.642790,UNKNOWN,0,0,19.90625,0,20.15625,0,0,0,0,0
2026-02-25T12:11:51.635442,UNKNOWN,0,0,19.875,0,,,0,0,0,0
2026-02-25T12:11:53.684203,UNKNOWN,0,0,19.90625,0,20.125,0,0,0,0,0
2026-02-25T12:11:55.732913,UNKNOWN,0,0,19.875,0,,,0,0,0,0
2026-02-25T12:11:57.676840,UNKNOWN,0,0,,,,,0,0,0,0
2026-02-25T12:11:59.729237,UNKNOWN,0,0,,,,,0,0,0,0
2026-02-25T12:12:03.719849,UNKNOWN,0,0,,,20.15625,0,0,0,0,0
2026-02-25T12:12:05.765622,UNKNOWN,0,0,,,,,0,0,0,0
2026-02-25T12:12:07.715809,UNKNOWN,0,0,,,20.1875,0,0,0,0,0
2026-02-25T12:12:09.759893,UNKNOWN,0,0,,,20.15625,0,0,0,0,0
2026-02-25T12:12:15.760847,UNKNOWN,0,0,,,20.1875,0,0,0,0,0
2026-02-25T12:12:17.849905,UNKNOWN,0,0,,,20.15625,0,0,0,0,0
2026-02-25T12:12:19.897680,UNKNOWN,0,0,,,20.1875,0,0,0,0,0
2026-02-25T12:12:23.891328,UNKNOWN,0,0,,,20.15625,0,0,0,0,0
2026-02-25T12:12:25.824390,UNKNOWN,0,0,,,20.1875,0,0,0,0,0
2026-02-25T12:12:29.934300,UNKNOWN,0,0,,,20.21875,0,0,0,0,0
2026-02-25T12:12:31.859971,UNKNOWN,0,0,19.90625,0,,,0,0,0,0
2026-02-25T12:12:33.931499,UNKNOWN,0,0,19.875,0,20.1875,0,0,0,0,0
2026-02-25T12:12:35.974948,UNKNOWN,0,0,,,,,0,0,0,0
2026-02-25T12:12:37.921034,UNKNOWN,0,0,,,20.15625,0,0,0,0,0
2026-02-25T12:12:42.019969,UNKNOWN,0,0,,,,,0,0,0,0
2026-02-25T12:12:46.011663,UNKNOWN,0,0,,,20.1875,0,0,0,0,0
2026-02-25T12:12:48.018628,UNKNOWN,0,0,,,20.15625,0,0,0,0,0
2026-02-25T12:12:49.957700,UNKNOWN,0,0,,,20.125,0,0,0,0,0
2026-02-25T12:12:52.052739,UNKNOWN,0,0,,,20.15625,0,0,0,0,0
2026-02-25T12:12:58.095453,UNKNOWN,0,0,,,,,0,0,0,0
2026-02-25T12:13:06.082384,UNKNOWN,0,0,19.90625,0,20.125,0,0,0,0,0
2026-02-25T12:13:08.130131,UNKNOWN,0,0,19.875,0,20.09375,0,0,0,0,0
2026-02-25T12:13:10.076484,UNKNOWN,0,0,,,20.125,0,0,0,0,0
2026-02-25T12:13:12.075187,UNKNOWN,0,0,19.90625,0,,,0,0,0,0
2026-02-25T12:13:14.092866,UNKNOWN,0,0,19.875,0,,,0,0,0,0
2026-02-25T12:13:16.116868,UNKNOWN,0,0,,,20.15625,0,0,0,0,0
2026-02-25T12:13:18.165653,UNKNOWN,0,0,,,20.125,0,0,0,0,0
2026-02-25T12:13:26.244861,UNKNOWN,0,0,,,,,0,0,0,0
2026-02-25T12:13:28.170980,UNKNOWN,0,0,19.90625,0,20.15625,0,0,0,0,0
2026-02-25T12:13:34.196937,UNKNOWN,0,0,19.875,0,,,0,0,0,0
2026-02-25T12:13:36.292488,UNKNOWN,0,0,,,20.1875,0,0,0,0,0
2026-02-25T12:13:38.238319,UNKNOWN,0,0,,,20.15625,0,0,0,0,0
2026-02-25T12:13:44.280069,UNKNOWN,0,0,,,,,0,0,0,0
2026-02-25T12:13:46.330095,UNKNOWN,0,0,,,,,0,0,0,0
2026-02-25T12:13:48.375289,UNKNOWN,0,0,19.90625,0,,,0,0,0,0
2026-02-25T12:13:52.369637,UNKNOWN,0,0,,,,,0,0,0,0
2026-02-25T12:13:58.400830,UNKNOWN,0,0,19.875,0,,,0,0,0,0
2026-02-25T12:14:02.404732,UNKNOWN,0,0,19.90625,0,,,0,0,0,0
2026-02-25T12:14:04.453293,UNKNOWN,0,0,19.875,0,,,0,0,0,0
2026-02-25T12:14:06.398967,UNKNOWN,0,0,,,,,0,0,0,0
2026-02-25T12:14:08.447566,UNKNOWN,0,0,,,20.125,0,0,0,0,0
2026-02-25T12:14:10.494540,UNKNOWN,0,0,,,20.15625,0,0,0,0,0
2026-02-25T12:14:12.419263,UNKNOWN,0,0,,,20.09375,0,0,0,0,0
2026-02-25T12:14:14.437933,UNKNOWN,0,0,,,,,0,0,0,0
2026-02-25T12:14:16.447036,UNKNOWN,0,0,,,20.125,0,0,0,0,0
2026-02-25T12:14:18.457108,UNKNOWN,0,0,19.90625,0,20.15625,0,0,0,0,0
2026-02-25T12:14:24.478935,UNKNOWN,0,0,19.875,0,,,0,0,0,0
2026-02-25T12:14:26.585275,UNKNOWN,0,0,19.90625,0,,,0,0,0,0
2026-02-25T12:14:28.622752,UNKNOWN,0,0,19.875,0,,,0,0,0,0
2026-02-25T12:14:32.617584,UNKNOWN,0,0,19.90625,0,,,0,0,0,0
2026-02-25T12:14:34.558941,UNKNOWN,0,0,,,20.1875,0,0,0,0,0
2026-02-25T12:14:38.656842,UNKNOWN,0,0,,,20.15625,0,0,0,0,0
2026-02-25T12:14:40.067381,UNKNOWN,0,0,,,,,0,0,0,0
2026-02-25T12:14:40.601264,UNKNOWN,0,0,19.875,0,,,0,0,0,0
2026-02-25T12:14:42.651297,UNKNOWN,0,0,19.90625,0,,,0,0,0,0
2026-02-25T12:14:43.046061,UNKNOWN,0,0,,,,,0,0,0,0
2026-02-25T12:14:44.697181,UNKNOWN,0,0,19.875,0,20.125,0,0,0,0,0
2026-02-25T12:14:50.641294,UNKNOWN,0,0,19.90625,0,20.15625,0,0,0,0,0
2026-02-25T12:14:52.685145,UNKNOWN,0,0,,,20.1875,0,0,0,0,0
2026-02-25T12:14:54.668938,UNKNOWN,0,0,19.875,0,20.15625,0,0,0,0,0
2026-02-25T12:14:58.691001,UNKNOWN,0,0,,,20.1875,0,0,0,0,0
2026-02-25T12:15:02.704668,UNKNOWN,0,0,19.90625,0,,,0,0,0,0
2026-02-25T12:15:04.725558,UNKNOWN,0,0,19.875,0,,,0,0,0,0
2026-02-25T12:15:06.732176,UNKNOWN,0,0,19.90625,0,20.15625,0,0,0,0,0
